gbifID,name,basis,catalogNumber,collectionCode,collectionID,institutionCode,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,scientificName,year,month,day,verbatimLocality,eventDate
2803114036,Castor canadensis,HUMAN_OBSERVATION,50723465,Observations,,iNaturalist,45.388041,-117.110464,27190,"Castor canadensis Kuhl, 1820",2020,6,23,"Oregon, US",2020-06-23T11:45:46
2802971136,Castor canadensis,HUMAN_OBSERVATION,50723148,Observations,,iNaturalist,45.15445,-117.167985,27222,"Castor canadensis Kuhl, 1820",2020,6,23,"Oregon, US",2020-06-23T11:07:44
2802941035,Castor canadensis,HUMAN_OBSERVATION,49373197,Observations,,iNaturalist,44.692917,-118.068224,27285,"Castor canadensis Kuhl, 1820",2020,6,12,"Baker County, US-OR, US",2020-06-12T14:36:13
2802602152,Castor canadensis,HUMAN_OBSERVATION,49374217,Observations,,iNaturalist,44.756823,-118.144773,27285,"Castor canadensis Kuhl, 1820",2020,6,12,"Baker County, US-OR, US",2020-06-12T14:49:44
2802536847,Castor canadensis,HUMAN_OBSERVATION,49373979,Observations,,iNaturalist,44.684358,-118.167255,27285,"Castor canadensis Kuhl, 1820",2020,6,12,"Baker County, US-OR, US",2020-06-12T14:47:25
2802535209,Castor canadensis,HUMAN_OBSERVATION,49407456,Observations,,iNaturalist,44.074797,-123.111183,5,"Castor canadensis Kuhl, 1820",2020,6,10,"Delta Ponds City Park, Eugene, OR, US",2020-06-10T20:30:22
2642768286,Castor canadensis,FOSSIL_SPECIMEN,38503,CFC,http://grbio.org/cool/dzi3-f1gc,UOMNH,45.1,-122.8,,"Castor canadensis Kuhl, 1820",2003,6,23,North America | United States | Oregon | Marion County,2003-06-23T00:00:00
2641508151,Castor canadensis,HUMAN_OBSERVATION,48888175,Observations,,iNaturalist,43.793868,-123.030748,84,"Castor canadensis Kuhl, 1820",2020,5,19,"Row River Nature Park, Cottage Grove, OR, US",2020-05-19T18:44:25
2641302724,Castor canadensis,HUMAN_OBSERVATION,48586130,Observations,,iNaturalist,45.463912,-122.613152,,"Castor canadensis Kuhl, 1820",2020,6,1,"Errol Heights Wetland, Portland, Oregon, United States",2020-06-01T11:18:17
2634560928,Castor canadensis,HUMAN_OBSERVATION,48146283,Observations,,iNaturalist,45.347909,-122.680631,8363,"Castor canadensis Kuhl, 1820",2020,6,1,"West Linn, OR 97068, USA",2020-06-01T05:10:00
